"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US01","Alabama","5157699","*****",
"0400000US02","Alaska","740133","*****",
"0400000US04","Arizona","7582384","*****",
"0400000US05","Arkansas","3088354","*****",
"0400000US06","California","39431263","*****",
"0400000US08","Colorado","5957494","*****",
"0400000US09","Connecticut","3675069","*****",
"0400000US10","Delaware","1051917","*****",
"0400000US11","District of Columbia","702250","*****",
"0400000US12","Florida","23372215","*****",
"0400000US13","Georgia","11180878","*****",
"0400000US15","Hawaii","1446146","*****",
"0400000US16","Idaho","2001619","*****",
"0400000US17","Illinois","12710158","*****",
"0400000US18","Indiana","6924275","*****",
"0400000US19","Iowa","3241488","*****",
"0400000US20","Kansas","2970606","*****",
"0400000US21","Kentucky","4588372","*****",
"0400000US22","Louisiana","4597740","*****",
"0400000US23","Maine","1405012","*****",
"0400000US24","Maryland","6263220","*****",
"0400000US25","Massachusetts","7136171","*****",
"0400000US26","Michigan","10140459","*****",
"0400000US27","Minnesota","5793151","*****",
"0400000US28","Mississippi","2943045","*****",
"0400000US29","Missouri","6245466","*****",
"0400000US30","Montana","1137233","*****",
"0400000US31","Nebraska","2005466","*****",
"0400000US32","Nevada","3267467","*****",
"0400000US33","New Hampshire","1409032","*****",
"0400000US34","New Jersey","9500851","*****",
"0400000US35","New Mexico","2130256","*****",
"0400000US36","New York","19867248","*****",
"0400000US37","North Carolina","11046024","*****",
"0400000US38","North Dakota","796568","*****",
"0400000US39","Ohio","11883304","*****",
"0400000US40","Oklahoma","4095393","*****",
"0400000US41","Oregon","4272371","*****",
"0400000US42","Pennsylvania","13078751","*****",
"0400000US44","Rhode Island","1112308","*****",
"0400000US45","South Carolina","5478831","*****",
"0400000US46","South Dakota","924669","*****",
"0400000US47","Tennessee","7227750","*****",
"0400000US48","Texas","31290831","*****",
"0400000US49","Utah","3503613","*****",
"0400000US50","Vermont","648493","*****",
"0400000US51","Virginia","8811195","*****",
"0400000US53","Washington","7958180","*****",
"0400000US54","West Virginia","1769979","*****",
"0400000US55","Wisconsin","5960975","*****",
"0400000US56","Wyoming","587618","*****",
"0400000US72","Puerto Rico","3203295","*****",
"1600000US0103076","Auburn city, Alabama","83761","24",
"1600000US0107000","Birmingham city, Alabama","198477","2719",
"1600000US0121184","Dothan city, Alabama","72735","1827",
"1600000US0135896","Hoover city, Alabama","93002","55",
"1600000US0137000","Huntsville city, Alabama","230157","2131",
"1600000US0145784","Madison city, Alabama","67204","3608",
"1600000US0150000","Mobile city, Alabama","201355","51",
"1600000US0151000","Montgomery city, Alabama","195826","32",
"1600000US0177256","Tuscaloosa city, Alabama","114274","58",
"1600000US0203000","Anchorage municipality, Alaska","289600","*****",
"1600000US0404720","Avondale city, Arizona","96626","69",
"1600000US0407940","Buckeye city, Arizona","114327","36",
"1600000US0410530","Casa Grande city, Arizona","68929","29",
"1600000US0410670","Casas Adobes CDP, Arizona","74298","6584",
"1600000US0412000","Chandler city, Arizona","281243","61",
"1600000US0423620","Flagstaff city, Arizona","77549","37",
"1600000US0427400","Gilbert town, Arizona","288797","52",
"1600000US0427820","Glendale city, Arizona","258121","80",
"1600000US0428380","Goodyear city, Arizona","118175","49",
"1600000US0444410","Maricopa city, Arizona","76658","28",
"1600000US0446000","Mesa city, Arizona","517142","58",
"1600000US0454050","Peoria city, Arizona","199932","59",
"1600000US0455000","Phoenix city, Arizona","1673122","151",
"1600000US0458150","Queen Creek town, Arizona","92557","9265",
"1600000US0464210","San Tan Valley CDP, Arizona","123211","11428",
"1600000US0465000","Scottsdale city, Arizona","246183","48",
"1600000US0471510","Surprise city, Arizona","167569","39",
"1600000US0473000","Tempe city, Arizona","190113","34",
"1600000US0477000","Tucson city, Arizona","554011","53",
"1600000US0485540","Yuma city, Arizona","103561","26",
"1600000US0515190","Conway city, Arkansas","70704","30",
"1600000US0523290","Fayetteville city, Arkansas","103124","38",
"1600000US0524550","Fort Smith city, Arkansas","90517","37",
"1600000US0535710","Jonesboro city, Arkansas","82386","19",
"1600000US0541000","Little Rock city, Arkansas","204793","68",
"1600000US0560410","Rogers city, Arkansas","75648","44",
"1600000US0566080","Springdale city, Arkansas","89641","2564",
"1600000US0600562","Alameda city, California","78807","46",
"1600000US0600884","Alhambra city, California","80289","47",
"1600000US0602000","Anaheim city, California","344579","83",
"1600000US0602252","Antioch city, California","118455","47",
"1600000US0602364","Apple Valley town, California","75039","42",
"1600000US0602553","Arden-Arcade CDP, California","90375","9346",
"1600000US0603526","Bakersfield city, California","417461","58",
"1600000US0603666","Baldwin Park city, California","69244","33",
"1600000US0604982","Bellflower city, California","75720","34",
"1600000US0606000","Berkeley city, California","121730","66",
"1600000US0608142","Brentwood city, California","66289","29",
"1600000US0608786","Buena Park city, California","82597","57",
"1600000US0608954","Burbank city, California","103543","43",
"1600000US0610046","Camarillo city, California","69868","51",
"1600000US0611194","Carlsbad city, California","113575","41",
"1600000US0611390","Carmichael CDP, California","78540","7994",
"1600000US0611530","Carson city, California","91370","59",
"1600000US0611964","Castro Valley CDP, California","65947","6355",
"1600000US0613014","Chico city, California","102907","25",
"1600000US0613210","Chino city, California","94006","39",
"1600000US0613214","Chino Hills city, California","77412","46",
"1600000US0613392","Chula Vista city, California","278548","51",
"1600000US0613588","Citrus Heights city, California","86910","29",
"1600000US0614218","Clovis city, California","127994","37",
"1600000US0615044","Compton city, California","91122","31",
"1600000US0616000","Concord city, California","124030","54",
"1600000US0616350","Corona city, California","161540","47",
"1600000US0616532","Costa Mesa city, California","109140","33",
"1600000US0617918","Daly City city, California","101424","41",
"1600000US0618100","Davis city, California","67129","27",
"1600000US0619766","Downey city, California","109365","33",
"1600000US0620018","Dublin city, California","70544","28",
"1600000US0620802","East Los Angeles CDP, California","114544","10594",
"1600000US0621230","Eastvale city, California","70739","46",
"1600000US0621712","El Cajon city, California","103287","36",
"1600000US0622020","Elk Grove city, California","182779","84",
"1600000US0622230","El Monte city, California","104621","62",
"1600000US0622804","Escondido city, California","148852","45",
"1600000US0623182","Fairfield city, California","122654","40",
"1600000US0624638","Folsom city, California","88096","35",
"1600000US0624680","Fontana city, California","218453","46",
"1600000US0626000","Fremont city, California","228191","36",
"1600000US0627000","Fresno city, California","550091","72",
"1600000US0628000","Fullerton city, California","140051","40",
"1600000US0629000","Garden Grove city, California","172331","100",
"1600000US0630000","Glendale city, California","187802","90",
"1600000US0632548","Hawthorne city, California","83629","33",
"1600000US0633000","Hayward city, California","158433","49",
"1600000US0633182","Hemet city, California","92908","31",
"1600000US0633434","Hesperia city, California","101844","37",
"1600000US0636000","Huntington Beach city, California","193171","79",
"1600000US0636448","Indio city, California","94283","39",
"1600000US0636546","Inglewood city, California","102765","42",
"1600000US0636770","Irvine city, California","318693","56",
"1600000US0637692","Jurupa Valley city, California","108158","35",
"1600000US0639486","Lake Elsinore city, California","73594","28",
"1600000US0639496","Lake Forest city, California","87164","32",
"1600000US0639892","Lakewood city, California","78488","42",
"1600000US0640130","Lancaster city, California","167426","39",
"1600000US0641992","Livermore city, California","84849","70",
"1600000US0642202","Lodi city, California","68639","30",
"1600000US0643000","Long Beach city, California","450917","59",
"1600000US0644000","Los Angeles city, California","3878718","69",
"1600000US0644574","Lynwood city, California","63587","41",
"1600000US0645022","Madera city, California","69097","23",
"1600000US0645484","Manteca city, California","94283","45",
"1600000US0646842","Menifee city, California","117045","38",
"1600000US0646898","Merced city, California","96082","41",
"1600000US0647766","Milpitas city, California","79748","27",
"1600000US0648256","Mission Viejo city, California","91598","33",
"1600000US0648354","Modesto city, California","220617","91",
"1600000US0649270","Moreno Valley city, California","213893","88",
"1600000US0649670","Mountain View city, California","87322","30",
"1600000US0650076","Murrieta city, California","112531","46",
"1600000US0650258","Napa city, California","76913","37",
"1600000US0651182","Newport Beach city, California","82956","56",
"1600000US0652526","Norwalk city, California","98211","68",
"1600000US0653000","Oakland city, California","443575","95",
"1600000US0653322","Oceanside city, California","170942","42",
"1600000US0653896","Ontario city, California","185289","43",
"1600000US0653980","Orange city, California","137957","72",
"1600000US0654652","Oxnard city, California","200637","83",
"1600000US0655156","Palmdale city, California","162526","48",
"1600000US0655282","Palo Alto city, California","67645","50",
"1600000US0656000","Pasadena city, California","137200","41",
"1600000US0656700","Perris city, California","83040","38",
"1600000US0657456","Pittsburg city, California","77125","36",
"1600000US0657792","Pleasanton city, California","75661","26",
